marks,candidates,share,cumulative_share
386,2083,0.0008927798412626299,0.8256147665700024
387,2032,0.0008709210933488544,0.8264856876633513
388,2005,0.0008593488150415616,0.8273450364783929
389,1968,0.0008434905077315677,0.8281885269861244
390,2198,0.000942069174793692,0.8291305961609181
391,2020,0.0008657778585456132,0.8299963740194637
392,2012,0.0008623490353434523,0.8308587230548071
393,1975,0.0008464907280334585,0.8317052137828406
394,1974,0.0008460621251331884,0.8325512759079737
395,2168,0.0009292110877855888,0.8334804869957593
396,1979,0.0008482051396345388,0.8343286921353938
397,1943,0.0008327754352248151,0.8351614675706187
398,1956,0.0008383472729283265,0.835999814843547
399,1879,0.0008053448496075284,0.8368051596931545
400,2176,0.0009326399109877496,0.8377377996041423
401,2054,0.0008803503571547967,0.8386181499612971
402,1892,0.0008109166873110397,0.8394290666486082
403,1900,0.0008143455105132006,0.8402434121591214
404,1925,0.0008250605830199531,0.8410684727421412
405,2188,0.0009377831457909909,0.8420062558879322
406,1962,0.0008409188903299471,0.8428471747782622
407,2054,0.0008803503571547967,0.843727525135417
408,1884,0.0008074878641088788,0.8445350129995259
409,1892,0.0008109166873110397,0.845345929686837
410,2070,0.0008872080035591185,0.8462331376903961
411,1956,0.0008383472729283265,0.8470714849633244
412,1842,0.0007894865422975344,0.8478609715056219
413,1808,0.0007749140436883508,0.8486358855493102
414,1881,0.0008062020554080685,0.8494420876047183
415,2077,0.0008902082238610092,0.8503322958285793
416,1856,0.0007954869829013159,0.8511277828114806
417,1815,0.0007779142639902416,0.8519056970754708
418,1758,0.0007534838986748456,0.8526591809741456
419,1879,0.0008053448496075284,0.8534645258237531
420,2049,0.0008782073426534463,0.8543427331664065
421,1758,0.0007534838986748456,0.8550962170650813
422,1846,0.0007912009538986149,0.8558874180189799
423,1738,0.0007449118406694435,0.8566323298596494
424,1800,0.00077148522048619,0.8574038150801356
425,2034,0.0008717782991493947,0.858275593379285
426,1812,0.0007766284552894313,0.8590522218345745
427,1815,0.0007779142639902416,0.8598301360985647
428,1837,0.0007873435277961838,0.8606174796263609
429,1793,0.0007684850001842993,0.8613859646265453
430,2007,0.0008602060208421019,0.8622461706473874
431,1827,0.0007830574987934828,0.8630292281461809
432,1768,0.0007577699276775466,0.8637869980738584
433,1756,0.0007526266928743053,0.8645396247667327
434,1862,0.0007980586003029365,0.8653376833670356
435,1916,0.0008212031569175222,0.8661588865239531
436,1810,0.000775771249488891,0.866934657773442
437,1704,0.0007303393420602599,0.8676649971155023
438,1757,0.0007530552957745755,0.8684180524112769
439,1646,0.0007054803738445937,0.8691235327851214
440,1825,0.0007822002929929427,0.8699057330781144
441,1748,0.0007491978696721445,0.8706549309477865
442,1629,0.000698194124540002,0.8713531250723264
443,1652,0.0007080519912462144,0.8720611770635727
444,1738,0.0007449118406694435,0.8728060889042422
445,1862,0.0007980586003029365,0.8736041475045451
446,1744,0.0007474834580710641,0.8743516309626161
447,1618,0.0006934794926370308,0.8750451104552531
448,1635,0.0007007657419416226,0.8757458761971948
449,1653,0.0007084805941464844,0.8764543567913413
450,1834,0.0007860577190953736,0.8772404145104367
451,1604,0.0006874790520332493,0.8779278935624699
452,1625,0.0006964797129389215,0.8786243732754089
453,1653,0.0007084805941464844,0.8793328538695554
454,1552,0.0006651917012192038,0.8799980455707747
455,1783,0.0007641989711815981,0.8807622445419563
456,1630,0.0006986227274402721,0.8814608672693965
457,1663,0.0007127666231491856,0.8821736338925458
458,1623,0.0006956225071383813,0.8828692563996842
459,1591,0.0006819072143297379,0.8835511636140139
460,1715,0.000735053973963231,0.8842862175879771
461,1596,0.0006840502288310885,0.8849702678168082
462,1597,0.0006844788317313586,0.8856547466485396
463,1576,0.0006754781708256864,0.8863302248193653
464,1568,0.0006720493476235255,0.8870022741669888
465,1758,0.0007534838986748456,0.8877557580656636
466,1511,0.0006476189823081295,0.8884033770479718
467,1493,0.0006399041301032676,0.8890432811780751
468,1489,0.0006381897185021872,0.8896814708965772
469,1561,0.0006690491273216348,0.8903505200238989
470,1703,0.0007299107391599898,0.8910804307630589
471,1517,0.0006501905997097501,0.8917306213627686
472,1490,0.0006386183214024573,0.892369239684171
473,1551,0.0006647630983189337,0.89303400278249
474,1491,0.0006390469243027273,0.8936730497067927
475,1666,0.0007140524318499958,0.8943871021386427
476,1627,0.0006973369187394617,0.8950844390573821
477,1546,0.0006626200838175831,0.8957470591411997
478,1470,0.0006300462633970551,0.8963771054045967
479,1517,0.0006501905997097501,0.8970272960043064
480,1636,0.0007011943448418927,0.8977284903491483
481,1544,0.000661762878017043,0.8983902532271653
482,1507,0.0006459045707070491,0.8990361577978723
483,1498,0.0006420471446046181,0.8996782049424769
484,1568,0.0006720493476235255,0.9003502542901004
485,1700,0.0007286249304591794,0.9010788792205596
486,1489,0.0006381897185021872,0.9017170689390618
487,1482,0.0006351894982002964,0.9023522584372621
488,1483,0.0006356181011005665,0.9029878765383627
489,1501,0.0006433329533054285,0.9036312094916681
490,1579,0.0006767639795264966,0.9043079734711946
