local_file,source_url,retrieved_date,sha256,bytes,rows,redistribution,limitations
data/external/dakshana/raw/AR24.pdf,https://www.dakshana.org/wp-content/uploads/2025/09/AR24.pdf,2026-07-25,2afc0f6c8e48b1ab237011e2fffc5b474bc62ceea6aff8bc1904d89c848575e0,5457478,,not committed; local archive only,Dakshana annual report aggregates
data/external/dakshana/raw/JDST-2024-Notification_19-April.pdf,https://www.dakshana.org/wp-content/uploads/2023/04/JDST-2024-Notification_19-April.pdf,2026-07-25,003bc7edf5a127c2f97f3084537ca5154a2440842db49b6ed8ff15a5d85722cd,273663,,not committed; local archive only,JDST 2024 selection rules and cutoffs
data/external/cbse/raw/PRESS_RELEASE_DISAFFILIATED_27032024.pdf,https://www.cbse.gov.in/cbsenew/documents/PRESS_RELEASE_DISAFFILIATED_27032024.pdf,2026-07-25,d623064783fc103a412c83261abf868c9d57157f023a7e460bdb787f1de20450,226959,,not committed; local archive only,CBSE Mar 2024 disaffiliation list
data/external/tamil_nadu/counselling/raw/15072023215007.pdf,https://tnmedicalselection.net/news/15072023215007.pdf,2026-07-25,6539f4f5089012878e6d6c81477beff2f5ac2bbf17fac4873c5a321f1540667c,1822729,,not committed; local archive only,TN 2023-24 MQ rank list; contains identifiers
data/external/nta/raw/press/neet_2024_rerevised_result_20240726.pdf,https://nta.ac.in/Download/Notice/Notice_20240726213317.pdf,2026-07-25,16f8551108358719ed77d4ccae5e22e4fd34195a55f34db17457931c9451fa05,939402,,not committed; local archive only,NTA re-revised NEET UG 2024 result press release; official appeared/qualified totals
data/external/nta/raw/press/neet_2024_initial_result_20240604.pdf,https://www.nta.ac.in/Download/Notice/Notice_20240604195244.pdf,2026-07-25,f4c299e10da4df145c422b9a2b71b960ecd24af7356be21b4ec502e053337d09,994057,,not committed; local archive only,NTA initial NEET UG 2024 result press release
data/external/openicpsr/E112992/raw/112992-V1.zip,https://doi.org/10.3886/E112992V1,2026-07-25,17817afed6d563c001276f18711a063d226010d454ecd8b8471b7f6653007a53,10649,,not committed; local archive only,OpenICPSR E112992 V1 stub only (Readme.pdf + LICENSE); full replication data still missing; local only; no redistribution
data/external/young_lives/ukda_sn9543/raw/DCAT_9543.json,https://doi.org/10.5255/UKDA-SN-9543-1,2026-07-25,ca51f0aa785413683c1082ef7d18990fae7761bba38257fae0af4195339685a6,13007,,not committed; local archive only,UKDS DCAT metadata only for Young Lives Rounds 1-7 constructed files; not microdata; End User Licence; local only
data/external/young_lives/ukda_sn9543/raw/ldJson_9543.json,https://doi.org/10.5255/UKDA-SN-9543-1,2026-07-25,2c1f86fa847cd813837a64717f6f1abe78bed2f1c12ae2a775edd2d52756d3c6,11953,,not committed; local archive only,UKDS JSON-LD metadata only for Young Lives Rounds 1-7 constructed files; not microdata; End User Licence; local only
data/external/young_lives/literature/raw/Cohort_Profile_Update_Young_Lives_study.pdf,https://www.younglives.org.uk/,2026-07-25,c3ba9e3abbebf9f1f3dee7a3bc1439cf24ec3eef6bc28509cd286d232d27a913,506983,,not committed; local archive only,Young Lives cohort profile update paper/PDF; literature not microdata; local archive
data/external/mospi/docs/raw/Guide_to_download_microdata_v2.pdf,https://www.mospi.gov.in/sites/default/files/main_menu/Guide_to_Download_Data/Guide_to_download_microdata_v2.pdf,2026-07-25,5edd63edef9f996fb68fb85671a24afe3e5ffc688676689197d0c96ed239a612,841390,,not committed; local archive only,Official MoSPI microdata download guide PDF
data/external/mospi/plfs/2025/raw/Data_in_CSV.zip,https://microdata.gov.in/NADA/index.php/catalog/284,2026-07-25,385f1fe60a8f307105b18ee0b773f4602826c0494260da25e510689534880fbc,34254628,,not committed; local archive only,MoSPI PLFS calendar 2025 CSV; API download; local only; no redistribution
data/external/mospi/plfs/2023-24/raw/CSV_data_PLFS_2023_2024.zip,https://microdata.gov.in/NADA/index.php/catalog/213,2026-07-25,ff896f6cfee80b59a5ab413c2df6b99638b39d850999fd7105c130cde85432ea,22107995,,not committed; local archive only,MoSPI PLFS 2023-24 CSV; API download; local only; no redistribution
data/external/mospi/hces/2023-24/raw/HCES_Data_2023-24_Csv.zip,https://microdata.gov.in/NADA/index.php/catalog/237,2026-07-25,acf7b9cc840676fb812c05c48f09fa034955fe2cad5112e6d9b6d852f5f2e267,256315433,,not committed; local archive only,MoSPI HCES 2023-24 CSV; API download; local only; no redistribution
data/external/mospi/cmse/2025/raw/Data in CSV.zip,https://microdata.gov.in/NADA/index.php/catalog/255,2026-07-25,3bc9b6831c8a7cffdcb70fd5ffafc224f9ff788e59f238736916722c16d7eb70,2998685,,not committed; local archive only,MoSPI CMSE 2025 CSV; API download; local only; no redistribution
data/external/mospi/aidis/2019/raw/CSV_DI_77.zip,https://microdata.gov.in/NADA/index.php/catalog/156,2026-07-25,998688922d59af5baa9cf06d59dcce473b80aa91846716606b1ea82d44f6b684,32408611,,not committed; local archive only,MoSPI AIDIS 2019 CSV; API download; local only; no redistribution
