stratum_id,label,outcome,metric,bin_left,bin_right,share,count
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,engineering,annual,0.0,1.0,0.407525,16301.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,engineering,annual,1.0,100000.0,0.0312,1248.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,engineering,annual,100000.0,250000.0,0.1731,6924.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,engineering,annual,250000.0,500000.0,0.2111,8444.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,engineering,annual,500000.0,1000000.0,0.136725,5469.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,engineering,annual,1000000.0,2000000.0,0.037,1480.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,engineering,annual,2000000.0,5000000.0,0.003325,133.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,engineering,annual_if_employed,0.0,1.0,0.0,0.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,engineering,annual_if_employed,1.0,100000.0,0.052660449808008776,1248.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,engineering,annual_if_employed,100000.0,250000.0,0.29216422633866407,6924.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,engineering,annual_if_employed,250000.0,500000.0,0.3563019536689312,8444.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,engineering,annual_if_employed,500000.0,1000000.0,0.23076923076923078,5469.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,engineering,annual_if_employed,1000000.0,2000000.0,0.062449892400523226,1480.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,engineering,annual_if_employed,2000000.0,5000000.0,0.005612051141398371,133.0
