stratum_id,label,arms_race_scenario,outcome,metric,bin_left,bin_right,share,count
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_modest,realized,annual,1.0,100000.0,0.050666666666666665,608.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_modest,realized,annual,100000.0,250000.0,0.18858333333333333,2263.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_modest,realized,annual,250000.0,500000.0,0.17075,2049.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_modest,realized,annual,500000.0,1000000.0,0.091,1092.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_modest,realized,annual,1000000.0,2000000.0,0.022083333333333333,265.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_modest,realized,annual,2000000.0,5000000.0,0.0015,18.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_modest,realized,annual,0.0,1.0,0.4675,5610.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_modest,realized,annual,1.0,100000.0,0.045,540.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_modest,realized,annual,100000.0,250000.0,0.18741666666666668,2249.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_modest,realized,annual,250000.0,500000.0,0.17583333333333334,2110.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_modest,realized,annual,500000.0,1000000.0,0.09466666666666666,1136.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_modest,realized,annual,1000000.0,2000000.0,0.026833333333333334,322.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_modest,realized,annual,2000000.0,5000000.0,0.00275,33.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_modest,realized,annual,0.0,1.0,0.46266666666666667,5552.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_modest,realized,annual,1.0,100000.0,0.0445,534.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_modest,realized,annual,100000.0,250000.0,0.18533333333333332,2224.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_modest,realized,annual,250000.0,500000.0,0.17591666666666667,2111.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_modest,realized,annual,500000.0,1000000.0,0.1025,1230.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_modest,realized,annual,1000000.0,2000000.0,0.025916666666666668,311.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_modest,realized,annual,2000000.0,5000000.0,0.0030833333333333333,37.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_modest,realized,annual,0.0,1.0,0.4663333333333333,5596.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_modest,realized,annual,1.0,100000.0,0.04416666666666667,530.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_modest,realized,annual,100000.0,250000.0,0.18141666666666667,2177.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_modest,realized,annual,250000.0,500000.0,0.17983333333333335,2158.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_modest,realized,annual,500000.0,1000000.0,0.09816666666666667,1178.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_modest,realized,annual,1000000.0,2000000.0,0.026,312.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_modest,realized,annual,2000000.0,5000000.0,0.004,48.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_intensive,realized,annual,0.0,1.0,0.49191666666666667,5903.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_intensive,realized,annual,1.0,100000.0,0.058916666666666666,707.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_intensive,realized,annual,100000.0,250000.0,0.18916666666666668,2270.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_intensive,realized,annual,250000.0,500000.0,0.16566666666666666,1988.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_intensive,realized,annual,500000.0,1000000.0,0.07583333333333334,910.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_intensive,realized,annual,1000000.0,2000000.0,0.01725,207.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_intensive,realized,annual,2000000.0,5000000.0,0.00125,15.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_intensive,realized,annual,0.0,1.0,0.47925,5751.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_intensive,realized,annual,1.0,100000.0,0.06091666666666667,731.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_intensive,realized,annual,100000.0,250000.0,0.19858333333333333,2383.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_intensive,realized,annual,250000.0,500000.0,0.16433333333333333,1972.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_intensive,realized,annual,500000.0,1000000.0,0.07933333333333334,952.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_intensive,realized,annual,1000000.0,2000000.0,0.0165,198.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_intensive,realized,annual,2000000.0,5000000.0,0.0010833333333333333,13.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_intensive,realized,annual,0.0,1.0,0.4766666666666667,5720.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_intensive,realized,annual,1.0,100000.0,0.05125,615.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_intensive,realized,annual,100000.0,250000.0,0.18908333333333333,2269.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_intensive,realized,annual,250000.0,500000.0,0.17033333333333334,2044.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_intensive,realized,annual,500000.0,1000000.0,0.09025,1083.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_intensive,realized,annual,1000000.0,2000000.0,0.020916666666666667,251.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_intensive,realized,annual,2000000.0,5000000.0,0.0015,18.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_intensive,realized,annual,0.0,1.0,0.46975,5637.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_intensive,realized,annual,1.0,100000.0,0.04516666666666667,542.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_intensive,realized,annual,100000.0,250000.0,0.18658333333333332,2239.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_intensive,realized,annual,250000.0,500000.0,0.17575,2109.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_intensive,realized,annual,500000.0,1000000.0,0.09408333333333334,1129.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_intensive,realized,annual,1000000.0,2000000.0,0.025583333333333333,307.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_intensive,realized,annual,2000000.0,5000000.0,0.0030833333333333333,37.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_intensive,realized,annual,0.0,1.0,0.46375,5565.0
