stratum_id,label,arms_race_scenario,bin_left,bin_right,share,count
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_modest,500.0,600.0,0.05565,2226.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_modest,600.0,720.0,0.04445,1778.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_modest,-180.0,0.0,0.00105,42.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_modest,0.0,100.0,0.2345,9380.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_modest,100.0,200.0,0.296725,11869.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_modest,200.0,300.0,0.1659,6636.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_modest,300.0,400.0,0.114,4560.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_modest,400.0,500.0,0.087725,3509.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_modest,500.0,600.0,0.05565,2226.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,everyone_modest,600.0,720.0,0.04445,1778.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_modest,-180.0,0.0,0.001025,41.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_modest,0.0,100.0,0.200375,8015.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_modest,100.0,200.0,0.3165,12660.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_modest,200.0,300.0,0.16665,6666.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_modest,300.0,400.0,0.1207,4828.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_modest,400.0,500.0,0.087475,3499.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_modest,500.0,600.0,0.059525,2381.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_modest,600.0,720.0,0.04775,1910.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_modest,-180.0,0.0,0.001025,41.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_modest,0.0,100.0,0.200375,8015.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_modest,100.0,200.0,0.3165,12660.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_modest,200.0,300.0,0.16665,6666.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_modest,300.0,400.0,0.1207,4828.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_modest,400.0,500.0,0.087475,3499.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_modest,500.0,600.0,0.059525,2381.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_modest,600.0,720.0,0.04775,1910.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_intensive,-180.0,0.0,0.027975,1119.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_intensive,0.0,100.0,0.329425,13177.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_intensive,100.0,200.0,0.2334,9336.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_intensive,200.0,300.0,0.1642,6568.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_intensive,300.0,400.0,0.088925,3557.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_intensive,400.0,500.0,0.076925,3077.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_intensive,500.0,600.0,0.0521,2084.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_intensive,600.0,720.0,0.02705,1082.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_intensive,-180.0,0.0,0.027975,1119.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_intensive,0.0,100.0,0.329425,13177.0
