stratum_id,label,metric,x,cdf_government_mbbs,cdf_no_seat_mixture,cdf_engineering
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,3044855.3879670175,0.989765351972042,0.9996247126706385,0.9992826701548588
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,3320600.979665911,0.9928024629722083,0.999765445419149,0.9996202371408076
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,3596346.571364804,0.9945082376435347,0.9998123563353192,0.9997468247605384
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,3872092.163063698,0.9954651356298885,0.9998592672514894,0.9998312165070257
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,4147837.7547625913,0.9964636378765186,0.9999061781676596,0.9998734123802692
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,4423583.346461484,0.9972541188217674,0.9999530890838298,0.9999578041267564
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,4699328.938160378,0.9982942253286736,0.9999530890838298,0.9999578041267564
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,4975074.529859271,0.9987102679314361,0.9999530890838298,0.9999578041267564
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,5250820.121558164,0.9987102679314361,1.0,1.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,5526565.713257058,0.9989182892328174,1.0,1.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,5802311.304955952,0.9991263105341986,1.0,1.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,6078056.896654845,0.999167914794475,1.0,1.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,6353802.488353739,0.9992927275753037,1.0,1.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,6629548.080052632,0.9993759360958562,1.0,1.0
