source_file,round,sno,rank,allotted_quota,allotted_institute,course,allotted_category,candidate_category,remarks
019_final_result_round_3_ug_counselling_2024.pdf,3,3020,23022,All India,"Jorhat Medical College and Hospital, JORHAT,Kush al Konwar Path, Barbheta, Jorhat, Assam, 785001, Assam, 785001",MBBS,Open,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3021,23024,All India,"Bhima Bhoi Medical College and Hospital , Balangir,PO - Rajendra College, District- Balangir, Odisha., Odisha, 767002",MBBS,OBC,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3022,23032,All India,"Government Medical College, Mahabubabad ,Government Medical College, Mahabubabad , 551-1-P Mahabubabad Village Mahabubabad , Telangana, 506101",MBBS,Open,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3023,23045,All India,"Government Medical College, Kanker, Chhattisgarh,L ate Smt. Indira Gandhi Memorial Government Medical College, Kanker, Chhattisgarh, Chhattisgarh, 494334",MBBS,Open,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3024,23048,All India,"Chitradurga Medical College and Research Institute,P B Road Chitradurga, Karnataka, 577501",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3025,23049,All India,"GMC Jangaon,gmc.j angaon@gmai l.com, Telangana, 506167",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3026,23054,All India,"Government Medical College, Maheshwaram , Telangana,Go vernment Medical College Maheshwaram Govt Area Hospital Vanasthalipur am Sachivalaya Nagar Vanas, Telangana, 500070",MBBS,Open,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3027,23066,All India,"Government Medical College, Nagarkurnool, Sy no. 237, Uyyalawada village, Nanagarkurno ol, Telangana, 509209",MBBS,Open,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3028,23069,All India,"Government Medical College, Hingoli,Govern ment Medical College, Washim Road, Balsond, Hingoli, Maharashtra, 431513",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3029,23071,All India,"Chitradurga Medical College and Research Institute,P B Road Chitradurga, Karnataka, 577501",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3030,23072,All India,"Chitradurga Medical College and Research Institute,P B Road Chitradurga, Karnataka, 577501",MBBS,OBC,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3031,23082,All India,"Govt. Medical College Rajanna Sircilla,GOVE RNMENT MEDICAL COLLEGE NEAR KASTURBA GIRLS SCHOOL PEDDUR SIRCILLA DISTRICT RAJANNA SIRCILLA, Telangana, 505301",MBBS,Open,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3032,23083,All India,"GMC, Rajamahendra varam,Govern ment Medical College,D.No. 55-4-1,Central Jail Road ,Near CTRI, Rajamahendra varam., Andhra Pradesh, 533105",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3033,23091,All India,"Government Medical College, Hingoli,Govern ment Medical College, Washim Road, Balsond, Hingoli, Maharashtra, 431513",MBBS,Open,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3034,23093,All India,"Government Medical College, Washim,Gover nment Medical College, Washim District womens Hospital building, Nalanda Nagar, Chikhali Road, Maharashtra, 444505",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3035,23098,All India,"Government Medical College, Jagtial,Govern ment Medical College, Jagtial, Jagtial Village, Jagtial Tehsil, Jagtial Dist, Telangana, 505327",MBBS,Open,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3036,23100,All India,"Government Medical College, Mahabubabad ,Government Medical College, Mahabubabad , 551-1-P Mahabubabad Village Mahabubabad , Telangana, 506101",MBBS,Open,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3037,23102,All India,"GOVERNMEN T MEDICAL COLLEGE, HANDWARA, MAIDAN CHOGAL, HANDWARA, KUPWARA, Jammu And Kashmir, 193221",MBBS,OBC,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3038,23105,All India,"GMERS Medical College, Morbi,Gibson middle school, Opp railway station, Morbi, Gujarat, 363641",MBBS,OBC,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3039,23108,All India,"Government Medical College Mahasamund Chhattisgarh,I n front of Sai temple raipur road village kharora Mahasamund, Chhattisgarh, 493445",MBBS,Open,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3040,23110,All India,"Jorhat Medical College and Hospital, JORHAT,Kush al Konwar Path, Barbheta, Jorhat, Assam, 785001, Assam, 785001",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3041,23114,All India,"Government Medical College, Eluru,SURVE Y NO 60, BEHIND OLD BUS STAND, ELURU, Andhra Pradesh, 534005",MBBS,Open,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3042,23119,All India,"Government Medical College, Hingoli,Govern ment Medical College, Washim Road, Balsond, Hingoli, Maharashtra, 431513",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3043,23122,All India,"Jhargram Government Medical College and Hospital, West Bengal,Jhargr am Government Medical College and Hospital, Vidyasagarpall y, Jhargram, West Bengal., West Bengal, 721507",MBBS,Open,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3044,23125,All India,"Government Medical College Mahasamund Chhattisgarh,I n front of Sai temple raipur road village kharora Mahasamund, Chhattisgarh, 493445",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3045,23132,All India,"Saheed Rendo Majhi Medical College & Hospital, Bhawanipatna, Kalahandi,Odi sha,At - Bhangabari, P.O. - Uditnarayanpu r, Bhawanipatna, Dist - Kalahandi, Odisha, 766002",MBBS,Open,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3046,23134,All India,"Government Medical College, Mahabubabad ,Government Medical College, Mahabubabad , 551-1-P Mahabubabad Village Mahabubabad , Telangana, 506101",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3047,23137,All India,"Government Medical College, Mahabubabad ,Government Medical College, Mahabubabad , 551-1-P Mahabubabad Village Mahabubabad , Telangana, 506101",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3048,23139,All India,"Govt. Medical College Rajanna Sircilla,GOVE RNMENT MEDICAL COLLEGE NEAR KASTURBA GIRLS SCHOOL PEDDUR SIRCILLA DISTRICT RAJANNA SIRCILLA, Telangana, 505301",MBBS,Open,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3049,23140,All India,"GMERS Medical College, Panchmahal Godhra,Gover nment Engineering College Campus, Godhra Lunawada Road, Chabanpur, Godhra, Gujarat, 389001",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3050,23143,All India,"Government Medical College, Bhandara,Dist rict Hospital Campus, Sant Kabir Ward, Bhandara, Maharashtra, 441904",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3051,23146,All India,"Goverment Medical College, Gadchiroli,Gov ernment Medical College, Mul road complex, Gadchiroli, Maharashtra, 442605",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3052,23147,All India,"Kokrajhar Medical College & Hospital Rangalikhata, Rangalikhata Pt.-1, Kokrajhar, Assam, 783370",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3053,23151,All India,"Tamralipto Government Medical College & Hospital, West Bengal,227 Haldia Tamluk Mecheda Road, Tamluk, Purba Medinipur, West Bengal, 721636",MBBS,Open,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3054,23155,All India,"Government Medical College and Hospital, Jajpur, Odisha (Renamed as Jajati Keshari Medical College and Hospital, Jajpur),Dean and Principal, Government Medical College and Hospital, Jajpur, Odisha Renamed as Jajati Keshar, Odisha, 755001",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3055,23157,All India,"SHIMOGA INST. OF MEDICAL SCI., SHIMOGA,SA GAR ROAD, MCGANN HOSPITAL CAMPUS, SHIVAMOGG A, Karnataka, 577201",MBBS,EWS,EWS,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3056,23160,All India,"Saheed Laxman Nayak Med. College and Hos., Koraput,AT- JANIGUDA,K ORAPUT, Odisha, 764020",MBBS,Open,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3057,23164,All India,"Jhargram Government Medical College and Hospital, West Bengal,Jhargr am Government Medical College and Hospital, Vidyasagarpall y, Jhargram, West Bengal., West Bengal, 721507",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3058,23180,All India,"GOVT MEDICAL COLLEGE VIZIANAGAR AM,Opposite Central Tribal University , Near JNTU Gajularega, Vizianagaram, Andhra Pradesh, 535003, Andhra Pradesh, 535003",MBBS,Open,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3059,23185,All India,"AGARTALA GOVT. MEDICAL COLLEGE,AG ARTALA,Kunj aban, Agartala, Tripura West, Tripura, 799006",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
