centre_id,count,mean,median,std,min,max,city,center_name
200144,927,253.93419633225457,220.0,165.83043522283432,-24,710,DELHI/NEW DELHI,SARVODAYA BAL VIDYALAYA
200172,463,253.8682505399568,205.0,164.86229964004428,-10,700,DELHI/NEW DELHI,KALA NIKETAN INTERNATIONAL SCHOOL
200131,467,253.84796573875803,208.0,167.53339431102148,11,705,DELHI/NEW DELHI,DARBARI LAL DAV MODEL SCHOOL
200173,469,253.56076759061833,223.0,161.68557593699015,5,688,DELHI/NEW DELHI,LITTLE FLOWERS PUBLIC SR. SEC. SCHOOL
200188,572,253.47027972027973,205.5,168.8055726474672,5,692,DELHI/NEW DELHI,GOVT. CO ED. SS SCHOOL SITE 1(GSSS)
200151,467,253.40471092077087,211.0,170.11491010109552,0,705,DELHI/NEW DELHI,KENDRIYA VIDYALAYA
200185,622,253.0048231511254,215.5,165.2905361155222,3,710,DELHI/NEW DELHI,"G.D GOENKA PUBLIC SCHOOL, DWARKA"
200163,771,252.8715953307393,210.0,164.15449757848194,0,715,DELHI/NEW DELHI,FLORA DALE SR SECONDARY SCHOOL
200102,791,252.77370417193427,209.0,174.53761878444794,-19,706,DELHI/NEW DELHI,MOUNT ABU PUBLIC SCHOOL
200106,702,252.2863247863248,217.5,165.5708641452533,-16,710,DELHI/NEW DELHI,KULACHI HANSRAJ MODEL SCHOOL
200105,695,251.93812949640287,212.0,165.99309184771752,-10,700,DELHI/NEW DELHI,HIMALAYA PUB SR SEC SCH
200156,465,251.93333333333334,205.0,167.82698997246652,-35,706,DELHI/NEW DELHI,SARVODAYA VIDYALAYA
200154,456,251.81578947368422,204.0,165.6042318188108,-10,705,DELHI/NEW DELHI,SARVODAYA CO ED SR.SEC.SCHOOL
200204,681,251.69309838472833,210.0,165.7636200488799,-16,700,DELHI/NEW DELHI,NEW GREEN FIELD SCHOOL SAKET NEW DELHI
200141,943,251.68928950159068,209.0,166.81698517001917,-13,700,DELHI/NEW DELHI,GOVT SARVODAYA BBAL VIDYALAYA
200147,583,251.2229845626072,214.0,163.98755826164557,-14,710,DELHI/NEW DELHI,LAVI PUBLIC SCHOOL
200133,397,251.19143576826195,217.0,168.04684179591064,-21,691,DELHI/NEW DELHI,GURU NANAK PUBLIC SCHOOL
200129,504,250.64880952380952,217.0,159.69210459179777,-15,690,DELHI/NEW DELHI,ST.MARKS SR.SEC.PUBLIC SCHOOL
200120,788,250.60152284263958,217.0,164.64892718321215,-12,706,DELHI/NEW DELHI,DOON PUBLIC SCHOOL
200114,464,249.90086206896552,205.0,165.23530861495118,4,686,DELHI/NEW DELHI,CRPF PUBLIC SCHOOL
200146,624,249.35256410256412,206.5,164.9356333224638,-26,710,DELHI/NEW DELHI,GOVT BOYS SR. SEC. SCHOOL
200119,399,249.11278195488723,199.0,165.3757251362842,4,680,DELHI/NEW DELHI,HAPPY HOME PUBLIC SCHOOL
200210,397,249.1007556675063,211.0,163.60192796162536,20,705,DELHI/NEW DELHI,KV JNU
200158,324,248.98765432098764,208.0,159.84832159026195,-25,663,DELHI/NEW DELHI,DR.AMBEDKAR SCHOOL OF SPECILISED EXCELLENCE
200118,397,248.98488664987406,201.0,161.62817340326689,21,706,DELHI/NEW DELHI,DECENT PUBLIC SCHOOL
200209,459,248.7450980392157,209.0,167.62891263255412,-2,697,DELHI/NEW DELHI,KR MANGALAM WORLD SCHOOL
200181,693,248.62193362193364,197.0,165.26372752007003,9,702,DELHI/NEW DELHI,BAL BHAVAN PUBLIC SCHOOL
200211,375,247.608,210.0,159.3312341690046,7,705,DELHI/NEW DELHI,GREEN FIELDS SCHOOL
200112,562,247.34341637010675,200.0,163.09445619355236,6,695,DELHI/NEW DELHI,VIDYA BHARATI SCHOOL
200206,583,247.19039451114924,206.0,166.14110192694778,-6,705,DELHI/NEW DELHI,"RYAN INTERNATIONAL SCHOOL, VASANT KUNJ"
200124,669,246.88191330343795,196.0,170.61271965042198,10,707,DELHI/NEW DELHI,K R MANGLAM WORLD SCHOOL
200176,456,246.51973684210526,195.0,173.25946890616078,-10,708,DELHI/NEW DELHI,RAJKIYA PRATIBHA VIKAS VIDYALAYA
200115,465,245.89032258064515,198.0,159.68419403387782,-10,697,DELHI/NEW DELHI,D A V PUBLIC SCHOOL SECTOR VII ROHINI DELHI
200117,461,245.68329718004338,208.0,164.70220664151162,-34,685,DELHI/NEW DELHI,MOUNT ABU PUBLIC SCHOOL
200191,469,245.45202558635395,203.0,157.42180375063018,0,705,DELHI/NEW DELHI,KENDRIYA VIDYALAYA (BSF) CHHAWALA CAMP
200126,574,245.35191637630663,205.0,167.83312014605926,-24,705,DELHI/NEW DELHI,GURUSHARAN CONVENT
200150,460,244.94347826086957,195.0,166.53235457643942,-16,700,DELHI/NEW DELHI,GOVT BOYS SR. SEC SCHOOL
200123,678,244.86725663716814,205.0,162.1839594738987,8,710,DELHI/NEW DELHI,BOSCO PUBLIC SCHOOL
200127,587,244.72402044293014,205.0,157.50301633880576,-9,680,DELHI/NEW DELHI,ST FROEBEL SENIOR SECONDARY SCHOOL
200109,633,244.14849921011057,196.0,161.8792722962644,-10,705,DELHI/NEW DELHI,MAHARAJA AGARSAIN PUBLIC SCHOOL
200136,279,243.98924731182797,191.0,162.34013683574585,15,680,DELHI/NEW DELHI,GOVT. BOYS SR. SEC. SCHOOL
200168,575,243.59652173913042,202.0,162.4317192007607,-23,711,DELHI/NEW DELHI,PM SHRI KV AGCR COLONY DELHI
200166,692,243.42485549132948,199.0,162.16124031892943,-8,691,DELHI/NEW DELHI,RYAN INTERNATIONAL SCHOOL
200212,366,242.3360655737705,203.0,154.54684676950126,-18,683,DELHI/NEW DELHI,RED ROSES PUBLIC SCHOOL
200162,768,242.22916666666666,198.0,163.55584139707898,-10,706,DELHI/NEW DELHI,BAL MANDIR SR SEC SCHOOL
200161,819,241.82051282051282,199.0,160.0828430679705,0,686,DELHI/NEW DELHI,EVERGREEN PUBLIC SCHOOL
200128,555,241.17837837837837,204.0,155.38598348561422,-4,715,DELHI/NEW DELHI,KAMAL MODEL SR SEC SCHOOL
200153,469,240.87420042643924,209.0,154.7905227574475,-5,715,DELHI/NEW DELHI,SARVODAYA BAL VIDYALAYA
200170,554,239.67509025270758,195.0,161.1733733222551,-3,691,DELHI/NEW DELHI,RAJKIYA SARVODAYA KANYA VIDYALAYA
