year,phase,course,college_code,college_name,college_type,category,last_rank,other_categories_raw,source_file
2025,1,MBBS,ALD,"Government Dental College, Alappuzha",G,BH,7799,,mbbs_lrank_final.pdf
2025,1,MBBS,ALD,"Government Dental College, Alappuzha",G,BX,,,mbbs_lrank_final.pdf
2025,1,MBBS,ALD,"Government Dental College, Alappuzha",G,KN,,,mbbs_lrank_final.pdf
2025,1,MBBS,ALD,"Government Dental College, Alappuzha",G,KU,,,mbbs_lrank_final.pdf
2025,1,MBBS,ALD,"Government Dental College, Alappuzha",G,SC,17740,,mbbs_lrank_final.pdf
2025,1,MBBS,ALD,"Government Dental College, Alappuzha",G,ST,31374,,mbbs_lrank_final.pdf
2025,1,MBBS,ALD,"Government Dental College, Alappuzha",G,EW,5451,,mbbs_lrank_final.pdf
2025,1,MBBS,KKD,"Govt. Dental College, Kozhikkode",G,SM,2555,"PI:8, SD:5244",mbbs_lrank_final.pdf
2025,1,MBBS,KKD,"Govt. Dental College, Kozhikkode",G,EZ,2776,,mbbs_lrank_final.pdf
2025,1,MBBS,KKD,"Govt. Dental College, Kozhikkode",G,MU,2590,,mbbs_lrank_final.pdf
2025,1,MBBS,KKD,"Govt. Dental College, Kozhikkode",G,LA,5287,,mbbs_lrank_final.pdf
2025,1,MBBS,KKD,"Govt. Dental College, Kozhikkode",G,DV,9137,,mbbs_lrank_final.pdf
2025,1,MBBS,KKD,"Govt. Dental College, Kozhikkode",G,VK,3016,,mbbs_lrank_final.pdf
2025,1,MBBS,KKD,"Govt. Dental College, Kozhikkode",G,BH,6306,,mbbs_lrank_final.pdf
2025,1,MBBS,KKD,"Govt. Dental College, Kozhikkode",G,BX,,,mbbs_lrank_final.pdf
2025,1,MBBS,KKD,"Govt. Dental College, Kozhikkode",G,KN,,,mbbs_lrank_final.pdf
2025,1,MBBS,KKD,"Govt. Dental College, Kozhikkode",G,KU,,,mbbs_lrank_final.pdf
2025,1,MBBS,KKD,"Govt. Dental College, Kozhikkode",G,SC,15487,,mbbs_lrank_final.pdf
2025,1,MBBS,KKD,"Govt. Dental College, Kozhikkode",G,ST,29490,,mbbs_lrank_final.pdf
2025,1,MBBS,KKD,"Govt. Dental College, Kozhikkode",G,EW,4252,,mbbs_lrank_final.pdf
2025,1,MBBS,KND,"Government Dental College, Kannur",G,SM,3461,,mbbs_lrank_final.pdf
2025,1,MBBS,KND,"Government Dental College, Kannur",G,EZ,4828,,mbbs_lrank_final.pdf
2025,1,MBBS,KND,"Government Dental College, Kannur",G,MU,3702,,mbbs_lrank_final.pdf
2025,1,MBBS,KND,"Government Dental College, Kannur",G,LA,9527,,mbbs_lrank_final.pdf
2025,1,MBBS,KND,"Government Dental College, Kannur",G,DV,11139,,mbbs_lrank_final.pdf
2025,1,MBBS,KND,"Government Dental College, Kannur",G,VK,3929,,mbbs_lrank_final.pdf
2025,1,MBBS,KND,"Government Dental College, Kannur",G,BH,8016,,mbbs_lrank_final.pdf
2025,1,MBBS,KND,"Government Dental College, Kannur",G,BX,6220,,mbbs_lrank_final.pdf
2025,1,MBBS,KND,"Government Dental College, Kannur",G,KN,14937,,mbbs_lrank_final.pdf
2025,1,MBBS,KND,"Government Dental College, Kannur",G,KU,25543,,mbbs_lrank_final.pdf
2025,1,MBBS,KND,"Government Dental College, Kannur",G,SC,17951,,mbbs_lrank_final.pdf
2025,1,MBBS,KND,"Government Dental College, Kannur",G,ST,31731,,mbbs_lrank_final.pdf
2025,1,MBBS,KND,"Government Dental College, Kannur",G,EW,6230,,mbbs_lrank_final.pdf
2025,1,MBBS,KTD,"Govt. Dental College, Kottayam",G,SM,3399,,mbbs_lrank_final.pdf
2025,1,MBBS,KTD,"Govt. Dental College, Kottayam",G,EZ,3733,,mbbs_lrank_final.pdf
2025,1,MBBS,KTD,"Govt. Dental College, Kottayam",G,MU,3418,,mbbs_lrank_final.pdf
2025,1,MBBS,KTD,"Govt. Dental College, Kottayam",G,LA,5552,,mbbs_lrank_final.pdf
2025,1,MBBS,KTD,"Govt. Dental College, Kottayam",G,DV,,,mbbs_lrank_final.pdf
2025,1,MBBS,KTD,"Govt. Dental College, Kottayam",G,VK,,,mbbs_lrank_final.pdf
2025,1,MBBS,KTD,"Govt. Dental College, Kottayam",G,BH,6238,,mbbs_lrank_final.pdf
2025,1,MBBS,KTD,"Govt. Dental College, Kottayam",G,BX,6126,,mbbs_lrank_final.pdf
2025,1,MBBS,KTD,"Govt. Dental College, Kottayam",G,KN,13922,,mbbs_lrank_final.pdf
2025,1,MBBS,KTD,"Govt. Dental College, Kottayam",G,KU,23890,,mbbs_lrank_final.pdf
2025,1,MBBS,KTD,"Govt. Dental College, Kottayam",G,SC,17353,,mbbs_lrank_final.pdf
2025,1,MBBS,KTD,"Govt. Dental College, Kottayam",G,ST,,,mbbs_lrank_final.pdf
2025,1,MBBS,KTD,"Govt. Dental College, Kottayam",G,EW,4486,,mbbs_lrank_final.pdf
2025,1,MBBS,TCD,"Govt. Dental College, Thrissur",G,SM,3237,,mbbs_lrank_final.pdf
2025,1,MBBS,TCD,"Govt. Dental College, Thrissur",G,EZ,3517,,mbbs_lrank_final.pdf
2025,1,MBBS,TCD,"Govt. Dental College, Thrissur",G,MU,3303,,mbbs_lrank_final.pdf
2025,1,MBBS,TCD,"Govt. Dental College, Thrissur",G,LA,9079,,mbbs_lrank_final.pdf
2025,1,MBBS,TCD,"Govt. Dental College, Thrissur",G,DV,10773,,mbbs_lrank_final.pdf
2025,1,MBBS,TCD,"Govt. Dental College, Thrissur",G,VK,3295,,mbbs_lrank_final.pdf
2025,1,MBBS,TCD,"Govt. Dental College, Thrissur",G,BH,7764,,mbbs_lrank_final.pdf
2025,1,MBBS,TCD,"Govt. Dental College, Thrissur",G,BX,,,mbbs_lrank_final.pdf
2025,1,MBBS,TCD,"Govt. Dental College, Thrissur",G,KN,,,mbbs_lrank_final.pdf
2025,1,MBBS,TCD,"Govt. Dental College, Thrissur",G,KU,,,mbbs_lrank_final.pdf
2025,1,MBBS,TCD,"Govt. Dental College, Thrissur",G,SC,17209,,mbbs_lrank_final.pdf
2025,1,MBBS,TCD,"Govt. Dental College, Thrissur",G,ST,29616,,mbbs_lrank_final.pdf
2025,1,MBBS,TCD,"Govt. Dental College, Thrissur",G,EW,5372,,mbbs_lrank_final.pdf
2025,1,MBBS,TVD,"Govt. Dental College, Thiruvananthapuram",G,SM,2897,PT:8,mbbs_lrank_final.pdf
2025,1,MBBS,TVD,"Govt. Dental College, Thiruvananthapuram",G,EZ,3241,,mbbs_lrank_final.pdf
2025,1,MBBS,TVD,"Govt. Dental College, Thiruvananthapuram",G,MU,3009,,mbbs_lrank_final.pdf
2025,1,MBBS,TVD,"Govt. Dental College, Thiruvananthapuram",G,LA,5662,,mbbs_lrank_final.pdf
2025,1,MBBS,TVD,"Govt. Dental College, Thiruvananthapuram",G,DV,8613,,mbbs_lrank_final.pdf
2025,1,MBBS,TVD,"Govt. Dental College, Thiruvananthapuram",G,VK,3242,,mbbs_lrank_final.pdf
2025,1,MBBS,TVD,"Govt. Dental College, Thiruvananthapuram",G,BH,6949,,mbbs_lrank_final.pdf
2025,1,MBBS,TVD,"Govt. Dental College, Thiruvananthapuram",G,BX,,,mbbs_lrank_final.pdf
2025,1,MBBS,TVD,"Govt. Dental College, Thiruvananthapuram",G,KN,,,mbbs_lrank_final.pdf
2025,1,MBBS,TVD,"Govt. Dental College, Thiruvananthapuram",G,KU,,,mbbs_lrank_final.pdf
2025,1,MBBS,TVD,"Govt. Dental College, Thiruvananthapuram",G,SC,17221,,mbbs_lrank_final.pdf
2025,1,MBBS,TVD,"Govt. Dental College, Thiruvananthapuram",G,ST,31053,,mbbs_lrank_final.pdf
2025,1,MBBS,TVD,"Govt. Dental College, Thiruvananthapuram",G,EW,3952,,mbbs_lrank_final.pdf
2025,1,MBBS,AAD,"Al Azhar Dental College, Thodupuzha",S,SM,17968,NR:44017,mbbs_lrank_final.pdf
2025,1,MBBS,AAD,"Al Azhar Dental College, Thodupuzha",S,EZ,21124,,mbbs_lrank_final.pdf
2025,1,MBBS,AAD,"Al Azhar Dental College, Thodupuzha",S,MU,21081,,mbbs_lrank_final.pdf
2025,1,MBBS,AAD,"Al Azhar Dental College, Thodupuzha",S,LA,22573,,mbbs_lrank_final.pdf
2025,1,MBBS,AAD,"Al Azhar Dental College, Thodupuzha",S,DV,22351,,mbbs_lrank_final.pdf
2025,1,MBBS,AAD,"Al Azhar Dental College, Thodupuzha",S,VK,24802,,mbbs_lrank_final.pdf
2025,1,MBBS,AAD,"Al Azhar Dental College, Thodupuzha",S,BH,19696,,mbbs_lrank_final.pdf
2025,1,MBBS,AAD,"Al Azhar Dental College, Thodupuzha",S,BX,20020,,mbbs_lrank_final.pdf
2025,1,MBBS,AAD,"Al Azhar Dental College, Thodupuzha",S,KN,23863,,mbbs_lrank_final.pdf
