year,phase,course,college_code,college_name,college_type,category,last_rank,other_categories_raw,source_file
2025,1,MBBS,KTM,"Govt. Medical College, Kottayam",G,KU,14879,,mbbs_lrank_final.pdf
2025,1,MBBS,KTM,"Govt. Medical College, Kottayam",G,SC,7476,,mbbs_lrank_final.pdf
2025,1,MBBS,KTM,"Govt. Medical College, Kottayam",G,ST,17277,,mbbs_lrank_final.pdf
2025,1,MBBS,KTM,"Govt. Medical College, Kottayam",G,EW,1347,,mbbs_lrank_final.pdf
2025,1,MBBS,MLP,"Govt. Medical College, Manjeri",G,SM,694,"DA:13760, PD:37391, PI:4, XS:765",mbbs_lrank_final.pdf
2025,1,MBBS,MLP,"Govt. Medical College, Manjeri",G,EZ,952,,mbbs_lrank_final.pdf
2025,1,MBBS,MLP,"Govt. Medical College, Manjeri",G,MU,790,,mbbs_lrank_final.pdf
2025,1,MBBS,MLP,"Govt. Medical College, Manjeri",G,LA,2377,,mbbs_lrank_final.pdf
2025,1,MBBS,MLP,"Govt. Medical College, Manjeri",G,DV,5541,,mbbs_lrank_final.pdf
2025,1,MBBS,MLP,"Govt. Medical College, Manjeri",G,VK,1392,,mbbs_lrank_final.pdf
2025,1,MBBS,MLP,"Govt. Medical College, Manjeri",G,BH,981,,mbbs_lrank_final.pdf
2025,1,MBBS,MLP,"Govt. Medical College, Manjeri",G,BX,1794,,mbbs_lrank_final.pdf
2025,1,MBBS,MLP,"Govt. Medical College, Manjeri",G,KN,8088,,mbbs_lrank_final.pdf
2025,1,MBBS,MLP,"Govt. Medical College, Manjeri",G,KU,16959,,mbbs_lrank_final.pdf
2025,1,MBBS,MLP,"Govt. Medical College, Manjeri",G,SC,10069,,mbbs_lrank_final.pdf
2025,1,MBBS,MLP,"Govt. Medical College, Manjeri",G,ST,21411,,mbbs_lrank_final.pdf
2025,1,MBBS,MLP,"Govt. Medical College, Manjeri",G,EW,1954,,mbbs_lrank_final.pdf
2025,1,MBBS,PKM,"Government Medical College, Palakkad",G,SM,,,mbbs_lrank_final.pdf
2025,1,MBBS,PKM,"Government Medical College, Palakkad",G,EZ,1297,,mbbs_lrank_final.pdf
